lux,temperature,moisture,timestamp
3859.4,25.5,74,2026-03-19T11:01:03.140029
4135.0,25.1,74,2026-03-19T11:02:03.140029
3990.1,25.9,74,2026-03-19T11:03:03.140029
4163.8,25.7,74,2026-03-19T11:04:03.140029
4098.9,26.5,74,2026-03-19T11:05:03.140029
3861.9,26.3,74,2026-03-19T11:06:03.140029
3914.7,24.8,74,2026-03-19T11:07:03.140029
3861.7,26.1,73,2026-03-19T11:08:03.140029
4221.0,25.2,73,2026-03-19T11:09:03.140029
4107.3,26.3,73,2026-03-19T11:10:03.140029
4254.3,25.9,73,2026-03-19T11:11:03.140029
4160.3,26.0,73,2026-03-19T11:12:03.140029
4091.1,25.9,73,2026-03-19T11:13:03.140029
4178.0,26.3,73,2026-03-19T11:14:03.140029
3906.3,25.2,72,2026-03-19T11:15:03.140029
4121.1,25.4,72,2026-03-19T11:16:03.140029
4188.3,25.6,72,2026-03-19T11:17:03.140029
3984.5,24.7,72,2026-03-19T11:18:03.140029
3908.5,26.2,72,2026-03-19T11:19:03.140029
4186.3,25.3,72,2026-03-19T11:20:03.140029
4013.4,26.1,72,2026-03-19T11:21:03.140029
4152.4,26.3,72,2026-03-19T11:22:03.140029
3892.1,26.7,71,2026-03-19T11:23:03.140029
4190.7,26.5,71,2026-03-19T11:24:03.140029
3907.6,26.0,71,2026-03-19T11:25:03.140029
3892.2,26.2,71,2026-03-19T11:26:03.140029
3909.6,25.6,71,2026-03-19T11:27:03.140029
4072.1,25.8,71,2026-03-19T11:28:03.140029
4160.4,24.8,71,2026-03-19T11:29:03.140029
4238.5,26.2,70,2026-03-19T11:30:03.140029
4217.4,25.8,70,2026-03-19T11:31:03.140029
3953.0,26.1,70,2026-03-19T11:32:03.140029
4060.4,25.7,70,2026-03-19T11:33:03.140029
4061.5,26.1,70,2026-03-19T11:34:03.140029
4209.3,26.7,70,2026-03-19T11:35:03.140029
4039.9,24.8,70,2026-03-19T11:36:03.140029
4172.8,26.2,69,2026-03-19T11:37:03.140029
4041.0,26.3,69,2026-03-19T11:38:03.140029
4176.5,25.6,69,2026-03-19T11:39:03.140029
4088.6,24.8,69,2026-03-19T11:40:03.140029
3854.4,26.6,69,2026-03-19T11:41:03.140029
4139.5,26.2,69,2026-03-19T11:42:03.140029
4013.9,24.8,69,2026-03-19T11:43:03.140029
3902.6,24.8,69,2026-03-19T11:44:03.140029
4110.8,25.8,68,2026-03-19T11:45:03.140029
4027.9,25.9,68,2026-03-19T11:46:03.140029
4128.5,26.1,68,2026-03-19T11:47:03.140029
3882.4,25.8,68,2026-03-19T11:48:03.140029
4010.1,25.1,68,2026-03-19T11:49:03.140029
4049.5,26.4,68,2026-03-19T11:50:03.140029
4016.4,25.3,68,2026-03-19T11:51:03.140029
3978.4,24.7,68,2026-03-19T11:52:03.140029
4097.3,25.0,68,2026-03-19T11:53:03.140029
4027.1,25.2,67,2026-03-19T11:54:03.140029
3975.1,25.7,67,2026-03-19T11:55:03.140029
4155.6,26.0,67,2026-03-19T11:56:03.140029
3864.8,25.3,67,2026-03-19T11:57:03.140029
4062.1,26.6,67,2026-03-19T11:58:03.140029
3930.3,25.9,67,2026-03-19T11:59:03.140029
4450.3,26.7,67,2026-03-19T12:00:03.140029
4245.9,25.1,66,2026-03-19T12:01:03.140029
4193.7,25.8,66,2026-03-19T12:02:03.140029
4443.7,26.9,66,2026-03-19T12:03:03.140029
4398.9,25.7,66,2026-03-19T12:04:03.140029
4382.9,25.3,66,2026-03-19T12:05:03.140029
4541.1,25.5,66,2026-03-19T12:06:03.140029
4401.2,25.9,66,2026-03-19T12:07:03.140029
4518.5,26.3,65,2026-03-19T12:08:03.140029
4392.8,25.1,65,2026-03-19T12:09:03.140029
4536.6,25.1,65,2026-03-19T12:10:03.140029
4245.6,26.6,65,2026-03-19T12:11:03.140029
4209.1,25.6,65,2026-03-19T12:12:03.140029
4576.7,25.7,65,2026-03-19T12:13:03.140029
4506.9,26.9,65,2026-03-19T12:14:03.140029
4380.1,26.2,65,2026-03-19T12:15:03.140029
4296.4,25.7,64,2026-03-19T12:16:03.140029
4557.5,25.1,64,2026-03-19T12:17:03.140029
4233.7,25.9,64,2026-03-19T12:18:03.140029
4219.9,25.9,64,2026-03-19T12:19:03.140029
4499.6,26.3,64,2026-03-19T12:20:03.140029
4476.8,26.4,64,2026-03-19T12:21:03.140029
4474.4,25.2,64,2026-03-19T12:22:03.140029
4386.6,26.5,64,2026-03-19T12:23:03.140029
4499.4,26.0,64,2026-03-19T12:24:03.140029
4201.6,26.0,63,2026-03-19T12:25:03.140029
4339.3,25.7,63,2026-03-19T12:26:03.140029
4465.9,26.0,63,2026-03-19T12:27:03.140029
4532.4,26.8,63,2026-03-19T12:28:03.140029
4576.4,25.5,63,2026-03-19T12:29:03.140029
4391.3,25.3,63,2026-03-19T12:30:03.140029
4353.8,26.8,63,2026-03-19T12:31:03.140029
4248.7,25.4,63,2026-03-19T12:32:03.140029
4543.6,26.6,62,2026-03-19T12:33:03.140029
4341.3,25.4,62,2026-03-19T12:34:03.140029
4192.7,26.7,62,2026-03-19T12:35:03.140029
4352.9,25.4,62,2026-03-19T12:36:03.140029
4563.1,26.8,62,2026-03-19T12:37:03.140029
4332.1,26.8,62,2026-03-19T12:38:03.140029
4229.9,26.1,62,2026-03-19T12:39:03.140029
4331.5,25.1,62,2026-03-19T12:40:03.140029
4245.0,25.8,61,2026-03-19T12:41:03.140029
4469.5,26.3,61,2026-03-19T12:42:03.140029
4559.1,26.1,61,2026-03-19T12:43:03.140029
4435.7,25.1,61,2026-03-19T12:44:03.140029
4309.2,26.6,61,2026-03-19T12:45:03.140029
4334.3,27.0,61,2026-03-19T12:46:03.140029
4423.8,26.9,60,2026-03-19T12:47:03.140029
4283.2,25.5,60,2026-03-19T12:48:03.140029
4298.6,25.9,60,2026-03-19T12:49:03.140029
4522.8,25.6,60,2026-03-19T12:50:03.140029
4334.6,26.6,60,2026-03-19T12:51:03.140029
4437.9,25.7,60,2026-03-19T12:52:03.140029
4502.7,26.6,60,2026-03-19T12:53:03.140029
4570.0,26.1,60,2026-03-19T12:54:03.140029
4362.8,26.6,59,2026-03-19T12:55:03.140029
4279.7,25.8,59,2026-03-19T12:56:03.140029
4461.0,25.8,59,2026-03-19T12:57:03.140029
4398.2,25.2,59,2026-03-19T12:58:03.140029
4466.7,26.2,59,2026-03-19T12:59:03.140029
4312.5,25.9,59,2026-03-19T13:00:03.140029
4331.5,25.8,59,2026-03-19T13:01:03.140029
4303.8,25.0,59,2026-03-19T13:02:03.140029
4549.1,26.5,58,2026-03-19T13:03:03.140029
4357.1,26.7,58,2026-03-19T13:04:03.140029
4663.9,25.0,58,2026-03-19T13:05:03.140029
4553.0,25.3,58,2026-03-19T13:06:03.140029
4456.4,25.9,58,2026-03-19T13:07:03.140029
4699.4,26.4,58,2026-03-19T13:08:03.140029
4302.4,26.2,58,2026-03-19T13:09:03.140029
4393.3,26.0,58,2026-03-19T13:10:03.140029
4458.6,25.5,57,2026-03-19T13:11:03.140029
4367.5,25.7,57,2026-03-19T13:12:03.140029
4625.2,26.7,57,2026-03-19T13:13:03.140029
4454.8,26.7,57,2026-03-19T13:14:03.140029
4355.7,26.6,57,2026-03-19T13:15:03.140029
4336.2,24.9,57,2026-03-19T13:16:03.140029
4660.9,25.4,57,2026-03-19T13:17:03.140029
4584.1,24.9,56,2026-03-19T13:18:03.140029
4666.3,26.4,56,2026-03-19T13:19:03.140029
4511.4,26.1,56,2026-03-19T13:20:03.140029
4445.7,25.8,56,2026-03-19T13:21:03.140029
4396.9,26.3,56,2026-03-19T13:22:03.140029
4612.8,26.6,56,2026-03-19T13:23:03.140029
4578.2,25.0,56,2026-03-19T13:24:03.140029
4397.7,26.5,55,2026-03-19T13:25:03.140029
4503.1,24.9,55,2026-03-19T13:26:03.140029
4338.4,26.1,55,2026-03-19T13:27:03.140029
4646.3,26.5,55,2026-03-19T13:28:03.140029
4335.2,25.0,55,2026-03-19T13:29:03.140029
4683.4,25.7,55,2026-03-19T13:30:03.140029
4652.5,25.2,55,2026-03-19T13:31:03.140029
4440.1,26.3,54,2026-03-19T13:32:03.140029
4326.5,25.2,54,2026-03-19T13:33:03.140029
4514.2,26.6,54,2026-03-19T13:34:03.140029
4605.3,25.4,54,2026-03-19T13:35:03.140029
4694.9,25.9,54,2026-03-19T13:36:03.140029
4532.2,25.0,54,2026-03-19T13:37:03.140029
4573.5,25.9,54,2026-03-19T13:38:03.140029
4558.9,25.3,54,2026-03-19T13:39:03.140029
4543.1,24.8,53,2026-03-19T13:40:03.140029
